City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
118,whitehorse,60.7161,-135.0538,11.17,31,75,9.26,CA,1685393461
119,codrington,-38.2667,141.9667,14.26,89,100,5.41,AU,1685393461
120,cambria,35.5641,-121.0808,18.64,85,100,0.89,US,1685393462
121,enewetak,11.3474,162.3373,27.5,79,100,5.15,MH,1685393462
122,kavieng,-2.5744,150.7967,28.16,76,45,3.66,PG,1685393462
123,vadso,70.0744,29.7487,6.49,70,0,4.12,NO,1685393463
124,mount isa,-20.7333,139.5,9.87,46,41,0.0,AU,1685393464
125,haapsalu,58.9431,23.5414,8.28,63,100,1.59,EE,1685393464
126,puerto aysen,-45.4,-72.7,6.02,87,100,2.06,CL,1685393231
127,sucre,-19.0333,-65.2627,15.68,59,35,3.39,BO,1685393464
128,kitimat,54.0524,-128.6534,15.38,53,99,2.24,CA,1685393465
129,tolanaro,-25.0319,46.9987,19.93,86,1,2.63,MG,1685393465
130,port elizabeth,-33.918,25.5701,18.39,94,100,7.2,ZA,1685393467
131,kokuy,52.2037,117.5529,7.16,62,8,0.33,RU,1685393467
132,moyale,3.5167,39.0584,21.29,53,47,1.31,KE,1685393467
133,muang phonsavan,19.45,103.2167,18.93,95,39,0.62,LA,1685393467
134,colonia,50.9333,6.95,15.87,47,0,3.6,DE,1685393293
135,saynshand,44.8824,110.1163,18.46,23,100,6.67,MN,1685393468
136,port mathurin,-19.6833,63.4167,24.4,76,50,8.44,MU,1685393469
137,carnarvon,-24.8667,113.6333,21.25,71,17,2.22,AU,1685393469
138,santa elena de uairen,4.6167,-61.1333,23.01,84,100,1.5,VE,1685393469
139,sinabang,2.4803,96.3801,26.23,82,74,2.69,ID,1685393470
140,polyarnyy,69.1989,33.4478,5.63,89,88,3.86,RU,1685393470
141,alofi,-19.0595,-169.9187,25.56,83,21,9.2,NU,1685393470
142,hithadhoo,-0.6,73.0833,27.67,75,98,1.73,MV,1685393471
143,oriximina,-1.7656,-55.8661,25.93,85,98,1.43,BR,1685393471
144,hammerfest,70.6634,23.6821,4.25,81,75,9.26,NO,1685393471
145,dudinka,69.4058,86.1778,-0.21,80,6,3.03,RU,1685393471
146,blackmans bay,-43.0167,147.3167,12.51,76,100,4.88,AU,1685393472
147,thompson,55.7435,-97.8558,23.09,68,75,5.66,CA,1685393472
148,puerto santa,-8.9906,-78.6456,23.31,78,34,5.73,PE,1685393472
149,bagheria,38.0794,13.5094,20.99,78,81,1.34,IT,1685393473
150,meulaboh,4.1363,96.1285,24.53,87,93,1.62,ID,1685393473
151,georgetown,5.4112,100.3354,26.97,83,20,1.03,MY,1685393473
152,maragogi,-9.0122,-35.2225,25.08,83,71,3.15,BR,1685393475
